model,category,semantic_name,raw_name,default,value,min,max,interpretation
DJI Air 3,"RC, radio, lights & interfaces",rc_sbus_0_A_roll,rc_sbus_0_A_roll,0,1024,0,0,runtime_or_read_only
DJI Air 3,"RC, radio, lights & interfaces",rc_sbus_1_E_pitch,rc_sbus_1_E_pitch,0,1024,0,0,runtime_or_read_only
DJI Air 3,"RC, radio, lights & interfaces",rc_sbus_2_T_throttle,rc_sbus_2_T_throttle,0,1024,0,0,runtime_or_read_only
DJI Air 3,"RC, radio, lights & interfaces",rc_sbus_3_R_yaw,rc_sbus_3_R_yaw,0,1024,0,0,runtime_or_read_only
DJI Air 3,"RC, radio, lights & interfaces",rc_sbus_6_mode,rc_sbus_6_mode,0,1024,0,0,runtime_or_read_only
DJI Air 3,"RC, radio, lights & interfaces",rc_sbus_app_connected,rc_sbus_app_connected,0,1,0,0,runtime_or_read_only
DJI Air 3,"RTH, takeoff, landing & failsafe",rc_sbus_failsafe,rc_sbus_failsafe,0,1,0,0,runtime_or_read_only
DJI Air 3,"RC, radio, lights & interfaces",rc_sbus_packet_cnt,rc_sbus_packet_cnt,0,50540,0,0,runtime_or_read_only
DJI Air 3,"RC, radio, lights & interfaces",rc_sbus_send_id,rc_sbus_send_id,0,14,0,0,runtime_or_read_only
DJI Air 3,"RTH, takeoff, landing & failsafe",sdr_lost_prevent_has_takeoff_en,sdr_lost_prevent_has_takeoff_en,1,0,0,1,configuration_or_persistent_state
DJI Air 3,"RTH, takeoff, landing & failsafe",sdr_lost_prevent_never_takeoff_en,sdr_lost_prevent_never_takeoff_en,1,0,0,1,configuration_or_persistent_state
DJI Air 3S,Flight limits & regulation,EU_CE_Reg_FollowMe_Enable,EU_CE_Reg_FollowMe_Enable,0,1,0,0,runtime_or_read_only
DJI Air 3S,Flight limits & regulation,EU_CE_Reg_GeoSense_Enable,EU_CE_Reg_GeoSense_Enable,0,1,0,0,runtime_or_read_only
DJI Air 3S,Flight limits & regulation,EU_CE_Reg_Level,EU_CE_Reg_Level,0,1,0,0,runtime_or_read_only
DJI Air 3S,Flight limits & regulation,EU_CE_Reg_MxSpeedLimit_Enable,EU_CE_Reg_MxSpeedLimit_Enable,0,1,0,0,runtime_or_read_only
DJI Air 3S,Flight limits & regulation,EU_CE_Reg_RID_Enable,EU_CE_Reg_RID_Enable,0,1,0,0,runtime_or_read_only
DJI Air 3S,Battery & power,battery_status,battery_status,0,65552,0,4294967295,runtime_or_read_only
DJI Air 3S,Flight limits & regulation,ce_country_type,ce_country_type,0,36,0,2000,configuration_or_persistent_state
DJI Air 3S,Per-aircraft calibration & bias state,compass0.status_data,compass0.status_data,0,4,0,0,runtime_or_read_only
DJI Air 3S,"IMU, compass & calibration controls",device_gyr_acc.busy.acc_x,device_gyr_acc.busy.acc_x,0,0.0744072,0,0,runtime_or_read_only
DJI Air 3S,"IMU, compass & calibration controls",device_gyr_acc.busy.acc_y,device_gyr_acc.busy.acc_y,0,0.000209351,0,0,runtime_or_read_only
