semantic_name,aliases,category,calibration_scope,transferability,present_in_profiles,DJI Air 3 | value,DJI Air 3 | default,DJI Air 3 | min,DJI Air 3 | max,DJI Air 3S | value,DJI Air 3S | default,DJI Air 3S | min,DJI Air 3S | max,DJI Mini 4 Pro | value,DJI Mini 4 Pro | default,DJI Mini 4 Pro | min,DJI Mini 4 Pro | max,DJI Neo | value,DJI Neo | default,DJI Neo | min,DJI Neo | max,DJI Neo 2 | value,DJI Neo 2 | default,DJI Neo 2 | min,DJI Neo 2 | max,DJI Flip | value,DJI Flip | default,DJI Flip | min,DJI Flip | max,DJI Avata 360 | value,DJI Avata 360 | default,DJI Avata 360 | min,DJI Avata 360 | max,DJI Lito X1 | value,DJI Lito X1 | default,DJI Lito X1 | min,DJI Lito X1 | max
antenna_gps1_x,antenna_gps1_x,Sensor installation geometry (model),model_sensor_geometry,"Do not copy across models; this is installation geometry, not proven per-unit calibration",8,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767
antenna_gps1_y,antenna_gps1_y,Sensor installation geometry (model),model_sensor_geometry,"Do not copy across models; this is installation geometry, not proven per-unit calibration",8,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767
antenna_gps1_z,antenna_gps1_z,Sensor installation geometry (model),model_sensor_geometry,"Do not copy across models; this is installation geometry, not proven per-unit calibration",8,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767
ap_fl_novice_mode_enable,ap_fl_novice_mode_enable,Flight limits & regulation,,,6,,,,,0,0,0,1,,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
ap_planning_vert_limit_disable_cfg,ap_planning_vert_limit_disable_cfg,Other / opaque internal,,,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
app_enable_second_landing,app_enable_second_landing,"RTH, takeoff, landing & failsafe",,,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
armkey_enable_second_landing,armkey_enable_second_landing,"RTH, takeoff, landing & failsafe",,,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
atti_cmd_fc_xy,atti_cmd_fc_xy,Other / opaque internal,,,3,,,,,,,,,,,,,0,0,0,10,0,0,0,10,,,,,0,0,0,10,,,,
atti_ffwd_gain_xy,atti_ffwd_gain_xy,"Stabilization, gains & filters",,,3,,,,,,,,,,,,,0,0,0,1,0,0,0,1,,,,,0,0,0,1,,,,
atti_gain,atti_gain,"Stabilization, gains & filters",,,8,140,140,80,200,140,140,80,200,160,160,80,200,130,130,80,200,130,130,80,200,160,160,80,200,130,130,80,200,160,160,80,200
